pillar  code    timestamp
0	98	2016-11-15-14-08-05-426
0	97	2016-11-15-14-08-07-020
0	98	2016-11-15-14-08-08-206
0	97	2016-11-15-14-08-08-995
0	100	2016-11-15-14-08-10-051
0	99	2016-11-15-14-08-11-821
1	98	2016-11-15-14-09-38-067
1	97	2016-11-15-14-09-38-625
1	98	2016-11-15-14-09-38-764
1	97	2016-11-15-14-09-38-905
1	98	2016-11-15-14-09-39-710
1	97	2016-11-15-14-09-40-254
1	98	2016-11-15-14-09-40-395
1	97	2016-11-15-14-09-40-536
1	100	2016-11-15-14-09-41-621
1	99	2016-11-15-14-09-43-446
1	100	2016-11-15-14-09-44-576
1	99	2016-11-15-14-09-53-245
0	100	2016-11-15-14-12-13-618
0	99	2016-11-15-14-12-29-197
1	100	2016-11-15-14-13-29-764
1	99	2016-11-15-14-13-46-955
2	100	2016-11-15-14-14-00-656
2	99	2016-11-15-14-14-16-218
3	100	2016-11-15-14-14-28-347
3	99	2016-11-15-14-14-41-697
3	100	2016-11-15-14-14-42-267
3	99	2016-11-15-14-14-47-323
4	100	2016-11-15-14-14-59-792
3	99	2016-11-15-14-16-30-381
3	100	2016-11-15-14-16-32-244
3	99	2016-11-15-14-16-43-531
2	100	2016-11-15-14-16-56-210
2	99	2016-11-15-14-17-27-104
2	100	2016-11-15-14-17-27-821
1	100	2016-11-15-14-17-45-203
1	99	2016-11-15-14-18-08-217
1	100	2016-11-15-14-18-08-358
1	99	2016-11-15-14-18-08-548
0	100	2016-11-15-14-18-26-259
0	98	2016-11-17-12-27-36-346
0	100	2016-11-17-12-27-38-461
0	99	2016-11-17-12-27-40-947
0	97	2016-11-17-12-27-42-476
1	98	2016-11-17-12-27-43-995
1	100	2016-11-17-12-27-47-385
1	99	2016-11-17-12-27-49-437
1	97	2016-11-17-12-27-50-732
2	98	2016-11-17-12-27-52-469
2	100	2016-11-17-12-27-53-934
2	99	2016-11-17-12-27-57-506
2	97	2016-11-17-12-27-58-636
3	98	2016-11-17-12-28-00-625
3	100	2016-11-17-12-28-01-756
3	99	2016-11-17-12-28-20-751
3	97	2016-11-17-12-28-21-737
4	98	2016-11-17-12-28-23-970
4	97	2016-11-17-12-28-24-109
4	98	2016-11-17-12-28-24-247
4	97	2016-11-17-12-28-39-418
3	98	2016-11-17-12-28-41-457
3	100	2016-11-17-12-28-43-401
3	99	2016-11-17-12-28-45-794
3	97	2016-11-17-12-28-46-738
2	98	2016-11-17-12-28-57-084
2	100	2016-11-17-12-28-58-926
2	99	2016-11-17-12-29-01-282
0	98	2016-11-17-12-29-02-006
2	97	2016-11-17-12-29-03-864
0	100	2016-11-17-12-29-04-007
0	99	2016-11-17-12-29-05-709
4	98	2016-11-17-12-29-06-866
0	100	2016-11-17-12-29-08-464
0	99	2016-11-17-12-29-09-667
0	97	2016-11-17-12-29-11-550
1	98	2016-11-17-12-29-15-160
1	100	2016-11-17-12-29-17-744
1	99	2016-11-17-12-29-19-024
4	97	2016-11-17-12-29-21-905
1	100	2016-11-17-12-29-24-358
1	99	2016-11-17-12-29-25-463
1	97	2016-11-17-12-29-26-618
0	98	2016-11-17-12-29-28-186
0	100	2016-11-17-12-29-29-838
0	99	2016-11-17-12-29-31-070
0	100	2016-11-17-12-29-33-945
0	99	2016-11-17-12-29-35-128
2	98	2016-11-17-12-29-36-976
2	100	2016-11-17-12-29-40-520
0	97	2016-11-17-12-29-45-997
0	98	2016-11-17-12-29-46-176
0	97	2016-11-17-12-29-46-355
2	99	2016-11-17-12-29-47-588
2	97	2016-11-17-12-29-48-980
4	100	2016-11-17-12-29-52-189
4	99	2016-11-17-12-29-52-354
4	100	2016-11-17-12-29-52-499
4	99	2016-11-17-12-29-52-984
4	100	2016-11-17-12-29-53-979
4	99	2016-11-17-12-29-54-795
4	100	2016-11-17-12-29-55-371
4	99	2016-11-17-12-29-55-860
4	98	2016-11-17-12-29-59-104
4	100	2016-11-17-12-30-00-957
4	99	2016-11-17-12-30-02-609
4	100	2016-11-17-12-30-05-898
4	99	2016-11-17-12-30-10-535
4	97	2016-11-17-12-30-12-259
3	98	2016-11-17-12-30-12-685
3	97	2016-11-17-12-30-12-828
3	98	2016-11-17-12-30-12-969
3	100	2016-11-17-12-30-14-812
3	99	2016-11-17-12-30-20-855
3	97	2016-11-17-12-30-21-756
3	98	2016-11-17-12-30-25-240
2	98	2016-11-17-12-30-25-523
2	100	2016-11-17-12-30-27-413
2	99	2016-11-17-12-30-29-970
2	97	2016-11-17-12-30-30-693
2	98	2016-11-17-12-30-31-131
2	97	2016-11-17-12-30-31-273
0	98	2016-11-17-12-37-10-959
0	100	2016-11-17-12-37-13-243
0	99	2016-11-17-12-37-17-412
0	97	2016-11-17-12-37-18-552
1	98	2016-11-17-12-37-21-280
1	100	2016-11-17-12-37-22-751
1	99	2016-11-17-12-37-26-475
1	97	2016-11-17-12-37-27-326
3	97	2016-11-17-12-37-32-799
3	98	2016-11-17-12-37-32-949
3	100	2016-11-17-12-37-36-791
3	99	2016-11-17-12-37-45-086
3	97	2016-11-17-12-37-46-381
3	98	2016-11-17-12-37-46-529
3	97	2016-11-17-12-37-46-676
4	98	2016-11-17-12-37-48-245
4	100	2016-11-17-12-37-52-325
4	99	2016-11-17-12-37-54-147
4	100	2016-11-17-12-37-54-861
4	99	2016-11-17-12-37-56-517
4	100	2016-11-17-12-37-57-362
4	99	2016-11-17-12-38-06-248
4	97	2016-11-17-12-38-07-791
4	98	2016-11-17-12-38-11-549
4	100	2016-11-17-12-38-15-912
3	98	2016-11-17-12-38-17-249
3	100	2016-11-17-12-38-19-407
3	99	2016-11-17-12-38-22-545
4	99	2016-11-17-12-38-23-827
4	100	2016-11-17-12-38-27-266
4	99	2016-11-17-12-38-29-761
4	100	2016-11-17-12-38-31-284
3	100	2016-11-17-12-38-33-729
4	99	2016-11-17-12-38-35-659
4	100	2016-11-17-12-38-36-109
3	99	2016-11-17-12-38-37-250
3	100	2016-11-17-12-38-37-581
4	99	2016-11-17-12-38-38-468
4	100	2016-11-17-12-38-38-911
3	99	2016-11-17-12-38-39-721
3	100	2016-11-17-12-38-40-049
4	99	2016-11-17-12-38-40-645
3	99	2016-11-17-12-38-41-839
4	97	2016-11-17-12-38-43-661
3	97	2016-11-17-12-38-45-319
1	98	2016-11-17-12-39-13-308
1	100	2016-11-17-12-39-15-961
1	99	2016-11-17-12-39-25-454
1	97	2016-11-17-12-39-26-580
2	98	2016-11-17-12-42-07-472
0	98	2016-11-17-12-42-08-740
0	100	2016-11-17-12-42-10-979
0	99	2016-11-17-12-42-12-662
2	100	2016-11-17-12-42-13-547
0	97	2016-11-17-12-42-13-728
2	99	2016-11-17-12-42-15-132
2	100	2016-11-17-12-42-15-884
2	99	2016-11-17-12-42-18-968
2	100	2016-11-17-12-42-19-830
1	98	2016-11-17-12-42-22-214
2	99	2016-11-17-12-42-23-268
1	100	2016-11-17-12-42-24-002
2	97	2016-11-17-12-42-24-765
1	99	2016-11-17-12-42-26-620
1	97	2016-11-17-12-42-28-191
1	98	2016-11-17-12-42-28-340
1	97	2016-11-17-12-42-28-771
1	98	2016-11-17-12-42-30-784
1	100	2016-11-17-12-42-33-939
2	98	2016-11-17-12-42-34-316
2	100	2016-11-17-12-42-36-356
1	99	2016-11-17-12-42-37-219
1	100	2016-11-17-12-42-37-740
2	99	2016-11-17-12-42-38-299
2	100	2016-11-17-12-42-38-670
2	99	2016-11-17-12-42-39-889
2	97	2016-11-17-12-42-41-315
1	99	2016-11-17-12-42-41-751
1	97	2016-11-17-12-42-42-748
3	98	2016-11-17-12-42-48-709
3	97	2016-11-17-12-42-48-854
3	98	2016-11-17-12-42-48-999
3	100	2016-11-17-12-42-50-604
3	99	2016-11-17-12-42-52-505
4	98	2016-11-17-12-42-52-951
3	100	2016-11-17-12-42-53-808
4	100	2016-11-17-12-42-55-709
4	99	2016-11-17-12-42-57-735
3	99	2016-11-17-12-42-58-606
4	97	2016-11-17-12-42-58-606
3	97	2016-11-17-12-42-59-481
0	98	2016-11-17-12-43-03-587
0	100	2016-11-17-12-43-04-849
0	99	2016-11-17-12-43-06-202
0	97	2016-11-17-12-43-07-151
1	98	2016-11-17-12-45-20-310
1	100	2016-11-17-12-45-21-744
1	99	2016-11-17-12-45-23-262
1	100	2016-11-17-12-45-24-183
1	99	2016-11-17-12-45-26-474
1	97	2016-11-17-12-45-27-355
4	98	2016-11-17-12-45-31-708
4	97	2016-11-17-12-45-34-756
3	98	2016-11-17-12-45-37-550
3	97	2016-11-17-12-45-42-235
3	98	2016-11-17-12-45-42-376
3	97	2016-11-17-12-45-42-520
2	97	2016-11-17-12-46-32-699
2	98	2016-11-17-12-46-32-837
2	97	2016-11-17-12-46-36-001
2	98	2016-11-17-12-46-36-150
2	100	2016-11-17-12-46-37-605
2	99	2016-11-17-12-46-39-177
2	97	2016-11-17-12-46-39-919
2	98	2016-11-17-12-46-40-360
2	97	2016-11-17-12-46-40-509
2	98	2016-11-17-12-46-40-659
1	98	2016-11-17-12-46-41-546
1	100	2016-11-17-12-46-43-584
1	99	2016-11-17-12-46-44-725
1	97	2016-11-17-12-46-45-448
3	98	2016-11-17-12-46-50-353
3	100	2016-11-17-12-46-52-940
3	99	2016-11-17-12-46-54-131
3	97	2016-11-17-12-46-55-052
4	98	2016-11-17-12-46-57-644
4	100	2016-11-17-12-46-58-874
4	99	2016-11-17-12-47-04-753
4	100	2016-11-17-12-47-05-496
